,@D,@T,@NVl,@Vl,@L,@Cl,@St,@UI_1
0,571,4:54:00 AM,"1,710","1,710 Hours",0,,2,3
1,573,4:54:00 AM,"1,713","1,713 Hours",0,,2,3
2,573,11:54:00 AM,"1,713","1,713 Hours",0,,2,3
3,574,3:59:00 AM,"1,716","1,716 Hours",0,,2,3
4,574,4:54:00 AM,"1,716","1,716 Hours",0,,2,3
5,574,10:34:00 AM,"1,716","1,716 Hours",0,,2,3
6,574,10:54:00 PM,"1,718","1,718 Hours",0,,2,3
7,577,4:49:00 AM,"1,719","1,719 Hours",0,,2,3
8,577,4:54:00 AM,"1,719","1,719 Hours",0,,2,3
9,577,10:50:00 AM,"1,719","1,719 Hours",0,,2,3
10,577,7:42:00 PM,"1,720","1,720 Hours",0,,2,3
11,579,3:54:00 AM,"1,720","1,720 Hours",0,,2,3
12,579,4:54:00 AM,"1,720","1,720 Hours",0,,2,3
13,579,10:05:00 AM,"1,720","1,720 Hours",0,,2,3
14,579,11:53:00 AM,"1,721","1,721 Hours",0,,2,3
15,579,1:46:00 PM,"1,721","1,721 Hours",0,,2,3
16,579,6:54:00 PM,"1,722","1,722 Hours",0,,2,3
17,581,4:54:00 AM,"1,722","1,722 Hours",0,,2,3
18,581,8:54:00 PM,"1,722","1,722 Hours",0,,2,3
19,582,4:54:00 AM,"1,722","1,722 Hours",0,,2,3
20,583,4:54:00 AM,"1,723","1,723 Hours",0,,2,3
21,583,6:54:00 PM,"1,724","1,724 Hours",0,,2,3
22,584,4:54:00 AM,"1,726","1,726 Hours",0,,2,3
23,585,4:54:00 AM,"1,729","1,729 Hours",0,,2,3
24,585,4:39:00 PM,"1,730","1,730 Hours",0,,2,3
25,586,4:54:00 AM,"1,730","1,730 Hours",0,,2,3
26,586,11:26:00 AM,"1,730","1,730 Hours",0,,2,3
27,587,4:54:00 AM,"1,732","1,732 Hours",0,,2,3
28,588,4:54:00 AM,"1,735","1,735 Hours",0,,2,3
29,589,4:54:00 AM,"1,739","1,739 Hours",0,,2,3
30,589,5:52:00 AM,"1,739","1,739 Hours",0,,2,3
31,589,8:55:00 AM,"1,739","1,739 Hours",0,,2,3
32,589,11:54:00 AM,"1,740","1,740 Hours",0,,2,3
33,591,4:54:00 AM,"1,742","1,742 Hours",0,,2,3
34,591,8:22:00 AM,"1,742","1,742 Hours",0,,2,3
35,591,12:24:00 PM,"1,742","1,742 Hours",0,,2,3
36,592,4:54:00 AM,"1,744","1,744 Hours",0,,2,3
37,592,7:50:00 AM,"1,744","1,744 Hours",0,,2,3
38,592,9:37:00 AM,"1,744","1,744 Hours",0,,2,3
39,593,2:54:00 AM,"1,746","1,746 Hours",0,,2,3
40,593,4:54:00 AM,"1,747","1,747 Hours",0,,2,3
41,593,7:54:00 PM,"1,749","1,749 Hours",0,,2,3
42,594,4:54:00 AM,"1,750","1,750 Hours",0,,2,3
43,594,9:54:00 AM,"1,751","1,751 Hours",0,,2,3
44,595,4:54:00 AM,"1,752","1,752 Hours",0,,2,3
45,595,7:54:00 AM,"1,753","1,753 Hours",0,,2,3
46,595,2:54:00 PM,"1,754","1,754 Hours",0,,2,3
47,595,8:54:00 PM,"1,755","1,755 Hours",0,,2,3
48,596,4:54:00 AM,"1,757","1,757 Hours",0,,2,3
49,596,2:45:00 PM,"1,760","1,760 Hours",0,,2,3
50,597,4:54:00 AM,"1,762","1,762 Hours",0,,2,3
51,597,7:54:00 AM,"1,762","1,762 Hours",0,,2,3
52,597,11:23:00 PM,"1,763","1,763 Hours",0,,2,3
53,599,4:54:00 AM,"1,763","1,763 Hours",0,,2,3
54,599,7:54:00 AM,"1,763","1,763 Hours",0,,2,3
55,599,10:50:00 AM,"1,763","1,763 Hours",0,,2,3
56,599,11:12:00 AM,"1,763","1,763 Hours",0,,2,3
57,599,2:18:00 PM,"1,763","1,763 Hours",0,,2,3
58,600,4:32:00 AM,"1,765","1,765 Hours",0,,2,3
59,600,4:54:00 AM,"1,765","1,765 Hours",0,,2,3
60,600,9:27:00 AM,"1,765","1,765 Hours",0,,2,3
61,601,4:54:00 AM,"1,768","1,768 Hours",0,,2,3
62,601,7:54:00 PM,"1,770","1,770 Hours",0,,2,3
63,602,4:54:00 AM,"1,771","1,771 Hours",0,,2,3
64,602,9:54:00 AM,"1,772","1,772 Hours",0,,2,3
65,602,4:54:00 PM,"1,773","1,773 Hours",0,,2,3
66,602,11:51:00 PM,"1,773","1,773 Hours",0,,2,3
67,603,4:54:00 AM,"1,773","1,773 Hours",0,,2,3
68,603,9:02:00 AM,"1,773","1,773 Hours",0,,2,3
69,603,10:59:00 PM,"1,777","1,777 Hours",0,,2,3
70,604,12:54:00 AM,"1,777","1,777 Hours",0,,2,3
71,604,4:54:00 AM,"1,777","1,777 Hours",0,,2,3
72,604,1:20:00 PM,"1,777","1,777 Hours",0,,2,3
73,605,4:54:00 AM,"1,779","1,779 Hours",0,,2,3
74,606,4:54:00 AM,"1,782","1,782 Hours",0,,2,3
75,607,4:54:00 AM,"1,784","1,784 Hours",0,,2,3
76,608,4:54:00 AM,"1,787","1,787 Hours",0,,2,3
77,609,4:54:00 AM,"1,790","1,790 Hours",0,,2,3
78,609,6:20:00 PM,"1,791","1,791 Hours",0,,2,3
79,611,4:54:00 AM,"1,791","1,791 Hours",0,,2,3
80,611,11:19:00 AM,"1,791","1,791 Hours",0,,2,3
81,611,10:54:00 PM,"1,792","1,792 Hours",0,,2,3
82,612,4:54:00 AM,"1,792","1,792 Hours",0,,2,3
83,612,7:09:00 AM,"1,792","1,792 Hours",0,,2,3
84,612,8:58:00 AM,"1,793","1,793 Hours",0,,2,3
85,612,11:07:00 AM,"1,793","1,793 Hours",0,,2,3
86,612,6:52:00 PM,"1,793","1,793 Hours",0,,2,3
87,614,4:54:00 AM,"1,793","1,793 Hours",0,,2,3
88,614,9:05:00 AM,"1,793","1,793 Hours",0,,2,3
89,615,12:58:00 AM,"1,796","1,796 Hours",0,,2,3
90,615,4:54:00 AM,"1,796","1,796 Hours",0,,2,3
91,615,11:16:00 AM,"1,796","1,796 Hours",0,,2,3
92,615,9:03:00 PM,"1,797","1,797 Hours",0,,2,3
93,616,4:54:00 AM,"1,797","1,797 Hours",0,,2,3
94,616,11:54:00 AM,"1,797","1,797 Hours",0,,2,3
95,617,4:54:00 AM,"1,799","1,799 Hours",0,,2,3
96,617,8:20:00 AM,"1,799","1,799 Hours",0,,2,3
97,617,4:35:00 PM,"1,799","1,799 Hours",0,,2,3
98,617,11:24:00 PM,"1,800","1,800 Hours",0,,2,3
99,618,4:54:00 AM,"1,800","1,800 Hours",0,,2,3
100,619,4:54:00 AM,"1,800","1,800 Hours",0,,2,3
101,619,8:54:00 AM,"1,800","1,800 Hours",0,,2,3
102,620,4:54:00 AM,"1,805","1,805 Hours",0,,2,3
103,621,4:54:00 AM,"1,808","1,808 Hours",0,,2,3
104,622,4:54:00 AM,"1,811","1,811 Hours",0,,2,3
105,623,4:54:00 AM,"1,814","1,814 Hours",0,,2,3
106,624,4:54:00 AM,"1,816","1,816 Hours",0,,2,3
107,625,4:54:00 AM,"1,820","1,820 Hours",0,,2,3
108,626,4:54:00 AM,"1,823","1,823 Hours",0,,2,3
109,627,4:54:00 AM,"1,827","1,827 Hours",0,,2,3
110,628,4:54:00 AM,"1,830","1,830 Hours",0,,2,3
111,629,4:54:00 AM,"1,832","1,832 Hours",0,,2,3
112,629,4:54:00 PM,"1,834","1,834 Hours",0,,2,3
113,630,4:54:00 AM,"1,835","1,835 Hours",0,,2,3
114,631,4:54:00 AM,"1,838","1,838 Hours",0,,2,3
115,632,4:54:00 AM,"1,841","1,841 Hours",0,,2,3
116,633,4:54:00 AM,"1,843","1,843 Hours",0,,2,3
117,634,4:54:00 AM,"1,846","1,846 Hours",0,,2,3
118,635,4:54:00 AM,"1,849","1,849 Hours",0,,2,3
119,635,2:54:00 PM,"1,850","1,850 Hours",0,,2,3
120,636,4:54:00 AM,"1,851","1,851 Hours",0,,2,3
121,636,4:54:00 PM,"1,852","1,852 Hours",0,,2,3
122,637,4:54:00 AM,"1,854","1,854 Hours",0,,2,3
123,637,7:54:00 AM,"1,854","1,854 Hours",0,,2,3
124,637,1:22:00 PM,"1,855","1,855 Hours",0,,2,3
125,637,5:31:00 PM,"1,855","1,855 Hours",0,,2,3
126,638,1:54:00 AM,"1,856","1,856 Hours",0,,2,3
127,638,4:54:00 AM,"1,856","1,856 Hours",0,,2,3
128,638,1:56:00 PM,"1,857","1,857 Hours",0,,2,3
129,639,12:51:00 AM,"1,859","1,859 Hours",0,,2,3
130,639,4:54:00 AM,"1,859","1,859 Hours",0,,2,3
131,639,9:56:00 AM,"1,859","1,859 Hours",0,,2,3
132,639,10:43:00 AM,"1,859","1,859 Hours",0,,2,3
133,640,4:54:00 AM,"1,861","1,861 Hours",0,,2,3
134,640,12:54:00 PM,"1,863","1,863 Hours",0,,2,3
135,641,4:54:00 AM,"1,865","1,865 Hours",0,,2,3
136,642,4:54:00 AM,"1,867","1,867 Hours",0,,2,3
137,642,9:54:00 AM,"1,867","1,867 Hours",0,,2,3
138,643,4:54:00 AM,"1,871","1,871 Hours",0,,2,3
139,644,4:54:00 AM,"1,875","1,875 Hours",0,,2,3
140,644,2:17:00 PM,"1,877","1,877 Hours",0,,2,3
141,645,4:54:00 AM,"1,877","1,877 Hours",0,,2,3
142,645,8:54:00 AM,"1,877","1,877 Hours",0,,2,3
143,645,9:34:00 AM,"1,877","1,877 Hours",0,,2,3
144,646,4:54:00 AM,"1,879","1,879 Hours",0,,2,3
145,647,4:54:00 AM,"1,882","1,882 Hours",0,,2,3
146,648,4:54:00 AM,"1,885","1,885 Hours",0,,2,3
147,648,2:54:00 PM,"1,887","1,887 Hours",0,,2,3
148,649,4:54:00 AM,"1,889","1,889 Hours",0,,2,3
149,649,3:56:00 PM,"1,890","1,890 Hours",0,,2,3
150,650,4:54:00 AM,"1,892","1,892 Hours",0,,2,3
151,651,4:54:00 AM,"1,896","1,896 Hours",0,,2,3
152,652,4:54:00 AM,"1,900","1,900 Hours",0,,2,3
153,653,4:54:00 AM,"1,903","1,903 Hours",0,,2,3
154,653,11:54:00 AM,"1,905","1,905 Hours",0,,2,3
155,653,10:54:00 PM,"1,906","1,906 Hours",0,,2,3
156,654,4:54:00 AM,"1,907","1,907 Hours",0,,2,3
157,655,4:54:00 AM,"1,910","1,910 Hours",0,,2,3
158,656,4:54:00 AM,"1,912","1,912 Hours",0,,2,3
159,656,6:54:00 AM,"1,912","1,912 Hours",0,,2,3
160,657,4:54:00 AM,"1,915","1,915 Hours",0,,2,3
161,657,5:54:00 PM,"1,916","1,916 Hours",0,,2,3
162,658,4:54:00 AM,"1,917","1,917 Hours",0,,2,3
163,659,4:54:00 AM,"1,920","1,920 Hours",0,,2,3
164,660,4:54:00 AM,"1,922","1,922 Hours",0,,2,3
165,660,8:20:00 AM,"1,923","1,923 Hours",0,,2,3
166,661,4:54:00 AM,"1,923","1,923 Hours",0,,2,3
167,661,8:42:00 AM,"1,923","1,923 Hours",0,,2,3
168,661,12:53:00 PM,"1,925","1,925 Hours",0,,2,3
169,661,3:05:00 PM,"1,925","1,925 Hours",0,,2,3
170,661,5:52:00 PM,"1,925","1,925 Hours",0,,2,3
171,662,4:54:00 AM,"1,925","1,925 Hours",0,,2,3
172,662,9:06:00 AM,"1,925","1,925 Hours",0,,2,3
173,662,7:54:00 PM,"1,927","1,927 Hours",0,,2,3
174,662,8:03:00 PM,"1,927","1,927 Hours",0,,2,3
175,663,4:54:00 AM,"1,927","1,927 Hours",0,,2,3
176,663,2:21:00 PM,"1,927","1,927 Hours",0,,2,3
177,663,2:38:00 PM,"1,928","1,928 Hours",0,,2,3
178,664,4:54:00 AM,"1,928","1,928 Hours",0,,2,3
179,664,6:10:00 AM,"1,928","1,928 Hours",0,,2,3
180,665,4:54:00 AM,"1,929","1,929 Hours",0,,2,3
181,666,4:54:00 AM,"1,932","1,932 Hours",0,,2,3
182,667,4:54:00 AM,"1,936","1,936 Hours",0,,2,3
183,667,10:13:00 PM,"1,939","1,939 Hours",0,,2,3
184,668,4:54:00 AM,"1,939","1,939 Hours",0,,2,3
185,668,8:56:00 AM,"1,939","1,939 Hours",0,,2,3
186,669,12:54:00 AM,"1,940","1,940 Hours",0,,2,3
187,669,4:54:00 AM,"1,940","1,940 Hours",0,,2,3
188,670,4:54:00 AM,"1,941","1,941 Hours",0,,2,3
189,670,10:54:00 AM,"1,941","1,941 Hours",0,,2,3
190,671,1:39:00 AM,"1,947","1,947 Hours",0,,2,3
191,671,4:54:00 AM,"1,947","1,947 Hours",0,,2,3
192,671,9:26:00 AM,"1,947","1,947 Hours",0,,2,3
193,671,11:45:00 AM,"1,947","1,947 Hours",0,,2,3
194,671,7:54:00 PM,"1,947","1,947 Hours",0,,2,3
195,672,4:54:00 AM,"1,947","1,947 Hours",0,,2,3
196,672,8:31:00 AM,"1,947","1,947 Hours",0,,2,3
197,672,9:54:00 AM,"1,948","1,948 Hours",0,,2,3
198,672,12:50:00 PM,"1,948","1,948 Hours",0,,2,3
199,672,4:15:00 PM,"1,948","1,948 Hours",0,,2,3
200,673,4:54:00 AM,"1,948","1,948 Hours",0,,2,3
201,673,9:54:00 AM,"1,948","1,948 Hours",0,,2,3
202,673,3:54:00 PM,"1,950","1,950 Hours",0,,2,3
203,674,3:54:00 AM,"1,950","1,950 Hours",0,,2,3
204,674,4:54:00 AM,"1,950","1,950 Hours",0,,2,3
205,674,3:54:00 PM,"1,951","1,951 Hours",0,,2,3
206,675,4:54:00 AM,"1,953","1,953 Hours",0,,2,3
207,676,3:54:00 AM,"1,955","1,955 Hours",0,,2,3
208,676,4:54:00 AM,"1,955","1,955 Hours",0,,2,3
209,677,4:54:00 AM,"1,957","1,957 Hours",0,,2,3
210,678,4:54:00 AM,"1,959","1,959 Hours",0,,2,3
211,679,4:54:00 AM,"1,962","1,962 Hours",0,,2,3
212,680,4:54:00 AM,"1,964","1,964 Hours",0,,2,3
213,681,4:54:00 AM,"1,967","1,967 Hours",0,,2,3
214,682,4:54:00 AM,"1,969","1,969 Hours",0,,2,3
215,683,4:54:00 AM,"1,972","1,972 Hours",0,,2,3
216,684,4:54:00 AM,"1,976","1,976 Hours",0,,2,3
217,684,9:54:00 AM,"1,977","1,977 Hours",0,,2,3
218,685,3:54:00 AM,"1,979","1,979 Hours",0,,2,3
219,685,4:54:00 AM,"1,979","1,979 Hours",0,,2,3
220,685,9:54:00 PM,"1,982","1,982 Hours",0,,2,3
221,686,4:54:00 AM,"1,982","1,982 Hours",0,,2,3
222,687,4:54:00 AM,"1,984","1,984 Hours",0,,2,3
223,687,2:54:00 PM,"1,986","1,986 Hours",0,,2,3
224,688,4:54:00 AM,"1,987","1,987 Hours",0,,2,3
225,689,4:54:00 AM,"1,990","1,990 Hours",0,,2,3
226,689,5:54:00 AM,"1,990","1,990 Hours",0,,2,3
227,690,4:54:00 AM,"1,993","1,993 Hours",0,,2,3
228,691,12:54:00 AM,"1,995","1,995 Hours",0,,2,3
229,691,4:54:00 AM,"1,996","1,996 Hours",0,,2,3
230,692,4:54:00 AM,"1,998","1,998 Hours",0,,2,3
231,692,6:54:00 AM,"1,998","1,998 Hours",0,,2,3
232,692,7:45:00 PM,"2,000","2,000 Hours",0,,2,3
233,693,4:54:00 AM,"2,000","2,000 Hours",0,,2,3
234,693,8:07:00 AM,"2,000","2,000 Hours",0,,2,3
235,693,6:54:00 PM,"2,002","2,002 Hours",0,,2,3
236,694,1:08:00 AM,"2,002","2,002 Hours",0,,2,3
237,694,4:54:00 AM,"2,002","2,002 Hours",0,,2,3
238,694,11:32:00 AM,"2,003","2,003 Hours",0,,2,3
239,696,4:54:00 AM,"2,004","2,004 Hours",0,,2,3
240,697,4:54:00 AM,"2,007","2,007 Hours",0,,2,3
241,698,4:54:00 AM,"2,009","2,009 Hours",0,,2,3
242,699,4:54:00 AM,"2,012","2,012 Hours",0,,2,3
243,700,4:54:00 AM,"2,014","2,014 Hours",0,,2,3
244,701,4:54:00 AM,"2,017","2,017 Hours",0,,2,3
245,702,4:54:00 AM,"2,019","2,019 Hours",0,,2,3
246,703,4:54:00 AM,"2,021","2,021 Hours",0,,2,3
247,704,4:54:00 AM,"2,023","2,023 Hours",0,,2,3
248,704,1:54:00 PM,"2,025","2,025 Hours",0,,2,3
249,705,1:54:00 AM,"2,026","2,026 Hours",0,,2,3
250,705,4:54:00 AM,"2,026","2,026 Hours",0,,2,3
251,706,1:54:00 AM,"2,029","2,029 Hours",0,,2,3
252,706,4:57:00 AM,"2,029","2,029 Hours",0,,2,3
253,707,4:54:00 AM,"2,032","2,032 Hours",0,,2,3
254,708,4:54:00 AM,"2,035","2,035 Hours",0,,2,3
255,708,6:54:00 PM,"2,037","2,037 Hours",0,,2,3
256,709,4:54:00 AM,"2,038","2,038 Hours",0,,2,3
257,710,4:54:00 AM,"2,040","2,040 Hours",0,,2,3
258,710,6:20:00 AM,"2,040","2,040 Hours",0,,2,3
259,710,9:14:00 AM,"2,040","2,040 Hours",0,,2,3
260,711,4:54:00 AM,"2,041","2,041 Hours",0,,2,3
261,711,11:54:00 PM,"2,043","2,043 Hours",0,,2,3
262,712,4:54:00 AM,"2,043","2,043 Hours",0,,2,3
263,713,4:54:00 AM,"2,045","2,045 Hours",0,,2,3
264,714,4:54:00 AM,"2,047","2,047 Hours",0,,2,3
265,714,5:54:00 AM,"2,047","2,047 Hours",0,,2,3
266,714,11:54:00 AM,"2,048","2,048 Hours",0,,2,3
267,714,5:54:00 PM,"2,049","2,049 Hours",0,,2,3
268,715,4:54:00 AM,"2,049","2,049 Hours",0,,2,3
269,716,4:54:00 AM,"2,052","2,052 Hours",0,,2,3
270,716,5:54:00 AM,"2,052","2,052 Hours",0,,2,3
271,717,4:54:00 AM,"2,054","2,054 Hours",0,,2,3
272,717,5:54:00 AM,"2,054","2,054 Hours",0,,2,3
273,718,4:54:00 AM,"2,056","2,056 Hours",0,,2,3
274,718,12:56:00 PM,"2,057","2,057 Hours",0,,2,3
275,719,4:54:00 AM,"2,058","2,058 Hours",0,,2,3
276,720,4:54:00 AM,"2,061","2,061 Hours",0,,2,3
277,721,4:54:00 AM,"2,063","2,063 Hours",0,,2,3
278,721,6:54:00 AM,"2,063","2,063 Hours",0,,2,3
279,721,11:54:00 PM,"2,065","2,065 Hours",0,,2,3
280,722,4:54:00 AM,"2,065","2,065 Hours",0,,2,3
281,722,10:56:00 PM,"2,067","2,067 Hours",0,,2,3
282,723,4:54:00 AM,"2,068","2,068 Hours",0,,2,3
283,724,4:54:00 AM,"2,070","2,070 Hours",0,,2,3
284,725,4:54:00 AM,"2,072","2,072 Hours",0,,2,3
285,725,9:54:00 PM,"2,074","2,074 Hours",0,,2,3
286,726,4:54:00 AM,"2,074","2,074 Hours",0,,2,3
287,726,9:14:00 PM,"2,077","2,077 Hours",0,,2,3
288,727,4:54:00 AM,"2,077","2,077 Hours",0,,2,3
289,727,10:49:00 AM,"2,077","2,077 Hours",0,,2,3
290,728,2:54:00 AM,"2,078","2,078 Hours",0,,2,3
291,728,4:54:00 AM,"2,078","2,078 Hours",0,,2,3
292,729,4:54:00 AM,"2,081","2,081 Hours",0,,2,3
293,729,7:56:00 AM,"2,081","2,081 Hours",0,,2,3
294,729,7:54:00 PM,"2,082","2,082 Hours",0,,2,3
295,730,4:54:00 AM,"2,083","2,083 Hours",0,,2,3
296,731,4:54:00 AM,"2,085","2,085 Hours",0,,2,3
297,732,4:54:00 AM,"2,088","2,088 Hours",0,,2,3
298,732,12:54:00 PM,"2,088","2,088 Hours",0,,2,3
299,732,6:54:00 PM,"2,089","2,089 Hours",0,,2,3
300,733,4:54:00 AM,"2,090","2,090 Hours",0,,2,3
301,733,5:54:00 AM,"2,090","2,090 Hours",0,,2,3
302,733,5:54:00 PM,"2,091","2,091 Hours",0,,2,3
303,734,4:54:00 AM,"2,092","2,092 Hours",0,,2,3
304,735,4:54:00 AM,"2,095","2,095 Hours",0,,2,3
305,735,8:11:00 AM,"2,096","2,096 Hours",0,,2,3
306,735,10:22:00 AM,"2,096","2,096 Hours",0,,2,3
307,736,4:54:00 AM,"2,099","2,099 Hours",0,,2,3
308,737,4:54:00 AM,"2,103","2,103 Hours",0,,2,3
309,738,4:54:00 AM,"2,107","2,107 Hours",0,,2,3
310,738,4:56:00 PM,"2,110","2,110 Hours",0,,2,3
311,739,4:54:00 AM,"2,110","2,110 Hours",0,,2,3
312,739,4:54:00 PM,"2,112","2,112 Hours",0,,2,3
313,739,5:45:00 PM,"2,112","2,112 Hours",0,,2,3
314,740,4:54:00 AM,"2,112","2,112 Hours",0,,2,3
315,740,9:06:00 AM,"2,112","2,112 Hours",0,,2,3
316,740,9:46:00 AM,"2,113","2,113 Hours",0,,2,3
317,740,10:45:00 AM,"2,113","2,113 Hours",0,,2,3
318,742,4:54:00 AM,"2,114","2,114 Hours",0,,2,3
319,742,6:48:00 AM,"2,114","2,114 Hours",0,,2,3
320,742,9:54:00 AM,"2,114","2,114 Hours",0,,2,3
321,742,12:29:00 PM,"2,114","2,114 Hours",0,,2,3
322,743,4:54:00 AM,"2,115","2,115 Hours",0,,2,3
323,744,4:54:00 AM,"2,115","2,115 Hours",0,,2,3
324,744,12:54:00 PM,"2,115","2,115 Hours",0,,2,3
325,745,4:54:00 AM,"2,115","2,115 Hours",0,,2,3
326,746,4:54:00 AM,"2,115","2,115 Hours",0,,2,3
327,747,4:54:00 AM,"2,117","2,117 Hours",0,,2,3
328,747,8:37:00 AM,"2,117","2,117 Hours",0,,2,3
329,747,12:14:00 PM,"2,118","2,118 Hours",0,,2,3
330,747,1:16:00 PM,"2,118","2,118 Hours",0,,2,3
331,748,4:54:00 AM,"2,118","2,118 Hours",0,,2,3
332,748,11:54:00 AM,"2,119","2,119 Hours",0,,2,3
333,749,4:54:00 AM,"2,120","2,120 Hours",0,,2,3
334,749,12:54:00 PM,"2,121","2,121 Hours",0,,2,3
335,749,8:54:00 PM,"2,121","2,121 Hours",0,,2,3
336,750,4:54:00 AM,"2,121","2,121 Hours",0,,2,3
337,751,4:54:00 AM,"2,124","2,124 Hours",0,,2,3
338,752,4:54:00 AM,"2,125","2,125 Hours",0,,2,3
339,752,7:54:00 AM,"2,125","2,125 Hours",0,,2,3
340,753,4:54:00 AM,"2,127","2,127 Hours",0,,2,3
341,754,4:54:00 AM,"2,129","2,129 Hours",0,,2,3
342,755,4:54:00 AM,"2,130","2,130 Hours",0,,2,3
343,756,4:57:00 AM,"2,131","2,131 Hours",0,,2,3
344,756,10:54:00 AM,"2,131","2,131 Hours",0,,2,3
345,756,5:54:00 PM,"2,132","2,132 Hours",0,,2,3
346,756,11:54:00 PM,"2,132","2,132 Hours",0,,2,3
347,757,4:54:00 AM,"2,132","2,132 Hours",0,,2,3
348,757,5:54:00 AM,"2,132","2,132 Hours",0,,2,3
349,757,10:56:00 AM,"2,133","2,133 Hours",0,,2,3
350,758,4:54:00 AM,"2,135","2,135 Hours",0,,2,3
351,759,4:54:00 AM,"2,136","2,136 Hours",0,,2,3
352,759,7:29:00 PM,"2,138","2,138 Hours",0,,2,3
