,@D,@T,@NVl,@Vl,@L,@Cl,@St,@UI_1
0,13,12:55:00 PM,2,14,1,,2,5
1,13,7:54:00 PM,2,14,1,,2,5
2,15,4:56:00 AM,1,16,1,,2,5
3,15,9:54:00 AM,1,16,1,,2,5
4,15,10:02:00 AM,1,16,1,,2,5
5,15,10:05:00 AM,1,16,1,,2,5
6,15,12:55:00 PM,2,14,1,,2,5
7,17,4:54:00 AM,2,14,1,,2,5
8,17,9:55:00 AM,1,16,1,,2,5
9,17,9:58:00 AM,1,16,1,,2,5
10,17,12:54:00 PM,2,14,1,,2,5
11,18,4:54:00 AM,1,16,1,,2,5
12,18,5:03:00 AM,1,16,1,,2,5
13,18,5:10:00 AM,1,16,1,,2,5
14,18,9:11:00 AM,1,16,1,,2,5
15,18,12:54:00 PM,2,14,1,,2,5
16,19,4:08:00 PM,2,14,1,,2,5
17,20,5:22:00 AM,1,16,1,,2,5
18,20,5:24:00 AM,1,16,1,,2,5
19,20,5:27:00 AM,1,16,1,,2,5
20,20,5:30:00 AM,1,16,1,,2,5
21,20,5:40:00 AM,1,16,1,,2,5
22,20,11:55:00 AM,2,14,1,,2,5
23,4,5:48:00 AM,1,16,1,,2,5
24,4,6:21:00 AM,1,16,1,,2,5
25,4,12:54:00 PM,2,14,1,,2,5
26,4,6:24:00 PM,2,14,1,,2,5
27,21,7:55:00 AM,1,16,1,,2,5
28,21,9:55:00 AM,2,14,1,,2,5
29,22,4:54:00 AM,1,16,1,,2,5
30,22,9:55:00 AM,1,16,1,,2,5
31,22,12:54:00 PM,2,14,1,,2,5
32,23,6:54:00 AM,1,16,1,,2,5
33,23,9:54:00 AM,2,14,1,,2,5
34,24,8:00:00 AM,1,16,1,,2,5
35,24,11:54:00 AM,2,14,1,,2,5
36,25,5:26:00 AM,1,16,1,,2,5
37,25,5:28:00 AM,1,16,1,,2,5
38,26,7:57:00 AM,1,16,1,,2,5
39,26,1:54:00 PM,2,14,1,,2,5
40,26,2:54:00 PM,2,14,1,,2,5
41,27,5:18:00 AM,1,16,1,,2,5
42,27,5:58:00 AM,1,16,1,,2,5
43,28,1:54:00 PM,2,14,1,,2,5
44,29,11:07:00 AM,2,14,1,,2,5
45,29,11:44:00 AM,1,16,1,,2,5
46,29,12:26:00 PM,2,14,1,,2,5
47,30,4:54:00 AM,2,14,1,,2,5
48,31,4:54:00 AM,2,14,1,,2,5
49,31,4:58:00 AM,2,14,1,,2,5
50,31,5:54:00 AM,2,14,1,,2,5
51,31,9:46:00 AM,1,16,1,,2,5
52,31,10:27:00 AM,2,14,1,,2,5
53,31,10:54:00 AM,2,14,1,,2,5
54,31,12:54:00 PM,1,16,1,,2,5
55,32,4:59:00 AM,2,14,1,,2,5
56,32,10:28:00 AM,1,16,1,,2,5
