,@k,@v
0,5/1/2017,1
1,Valid Post,2
2,HEINZE PAD,3
3,9/14/2017,4
4,BECKER RANCH 5E-403,5
5,2/21/2018,6
6,3/2/2018,7
7,3/26/2018,8
8,6/11/2018,9
9,9/18/2018,10
10,11/19/2018,11
11,1/18/2019,12
12,9/8/2017,13
13,Acceptable,14
14,9/9/2017,15
15,Poort,16
16,9/10/2017,17
17,9/11/2017,18
18,9/12/2017,19
19,9/13/2017,20
20,9/15/2017,21
21,9/16/2017,22
22,9/17/2017,23
23,9/18/2017,24
24,9/19/2017,25
25,9/20/2017,26
26,9/21/2017,27
27,9/23/2017,28
28,9/25/2017,29
29,9/26/2017,30
30,9/27/2017,31
31,9/28/2017,32
32,9/29/2017,33
33,9/30/2017,34
34,10/1/2017,35
35,10/2/2017,36
36,10/3/2017,37
37,10/4/2017,38
38,10/5/2017,39
39,10/6/2017,40
40,10/7/2017,41
41,10/8/2017,42
42,10/9/2017,43
43,10/10/2017,44
44,10/11/2017,45
45,10/12/2017,46
46,10/13/2017,47
47,10/14/2017,48
48,No Signal,49
49,10/15/2017,50
50,10/16/2017,51
51,10/17/2017,52
52,10/18/2017,53
53,10/19/2017,54
54,Very good,55
55,10/20/2017,56
56,10/21/2017,57
57,10/22/2017,58
58,10/23/2017,59
59,10/24/2017,60
60,10/25/2017,61
61,10/26/2017,62
62,10/27/2017,63
63,10/28/2017,64
64,10/29/2017,65
65,10/30/2017,66
66,10/31/2017,67
67,11/1/2017,68
68,11/2/2017,69
69,11/3/2017,70
70,11/4/2017,71
71,11/5/2017,72
72,11/6/2017,73
73,11/7/2017,74
74,11/8/2017,75
75,11/9/2017,76
76,11/10/2017,77
77,11/11/2017,78
78,11/12/2017,79
79,11/13/2017,80
80,11/14/2017,81
81,11/15/2017,82
82,11/16/2017,83
83,11/17/2017,84
84,11/18/2017,85
85,11/19/2017,86
86,11/20/2017,87
87,11/21/2017,88
88,11/22/2017,89
89,11/23/2017,90
90,11/24/2017,91
91,11/25/2017,92
92,11/26/2017,93
93,11/27/2017,94
94,11/28/2017,95
95,11/29/2017,96
96,11/30/2017,97
97,12/1/2017,98
98,12/2/2017,99
99,12/3/2017,100
100,12/4/2017,101
101,12/6/2017,102
102,12/7/2017,103
103,12/8/2017,104
104,12/10/2017,105
105,12/11/2017,106
106,12/12/2017,107
107,12/13/2017,108
108,12/14/2017,109
109,12/17/2017,110
110,12/19/2017,111
111,12/20/2017,112
112,12/21/2017,113
113,12/22/2017,114
114,12/23/2017,115
115,12/24/2017,116
116,12/25/2017,117
117,12/26/2017,118
118,12/27/2017,119
119,12/28/2017,120
120,12/30/2017,121
121,12/31/2017,122
122,1/1/2018,123
123,1/2/2018,124
124,1/3/2018,125
125,1/4/2018,126
126,1/5/2018,127
127,1/6/2018,128
128,1/7/2018,129
129,1/8/2018,130
130,1/9/2018,131
131,1/10/2018,132
132,1/11/2018,133
133,1/12/2018,134
134,1/13/2018,135
135,1/14/2018,136
136,1/15/2018,137
137,1/16/2018,138
138,1/17/2018,139
139,1/18/2018,140
140,1/19/2018,141
141,1/20/2018,142
142,1/21/2018,143
143,1/22/2018,144
144,1/23/2018,145
145,1/24/2018,146
146,1/25/2018,147
147,1/26/2018,148
148,1/27/2018,149
149,1/28/2018,150
150,1/29/2018,151
151,1/30/2018,152
152,1/31/2018,153
153,2/1/2018,154
154,2/2/2018,155
155,2/3/2018,156
156,2/4/2018,157
157,2/5/2018,158
158,2/6/2018,159
159,2/7/2018,160
160,2/8/2018,161
161,2/9/2018,162
162,2/10/2018,163
163,2/11/2018,164
164,2/12/2018,165
165,2/13/2018,166
166,2/14/2018,167
167,2/15/2018,168
168,2/16/2018,169
169,2/17/2018,170
170,2/18/2018,171
171,2/19/2018,172
172,2/20/2018,173
173,2/22/2018,174
174,2/23/2018,175
175,2/24/2018,176
176,2/25/2018,177
177,2/26/2018,178
178,2/27/2018,179
179,2/28/2018,180
180,3/1/2018,181
181,3/3/2018,182
182,3/4/2018,183
183,3/5/2018,184
184,3/6/2018,185
185,3/7/2018,186
186,3/8/2018,187
187,3/9/2018,188
188,3/27/2018,189
189,3/28/2018,190
190,3/29/2018,191
191,3/30/2018,192
192,3/31/2018,193
193,4/1/2018,194
194,4/2/2018,195
195,4/3/2018,196
196,4/4/2018,197
197,4/5/2018,198
198,4/6/2018,199
199,4/7/2018,200
200,4/8/2018,201
201,4/9/2018,202
202,4/10/2018,203
203,4/11/2018,204
204,4/12/2018,205
205,4/13/2018,206
206,4/14/2018,207
207,4/15/2018,208
208,4/16/2018,209
209,4/17/2018,210
210,4/18/2018,211
211,4/19/2018,212
212,4/20/2018,213
213,4/21/2018,214
214,4/22/2018,215
215,4/23/2018,216
216,4/24/2018,217
217,4/25/2018,218
218,4/26/2018,219
219,4/27/2018,220
220,4/28/2018,221
221,4/29/2018,222
222,4/30/2018,223
223,5/1/2018,224
224,5/2/2018,225
225,5/3/2018,226
226,5/4/2018,227
227,5/5/2018,228
228,5/6/2018,229
229,5/7/2018,230
230,5/8/2018,231
231,5/9/2018,232
232,5/10/2018,233
233,5/11/2018,234
234,5/12/2018,235
235,5/13/2018,236
236,5/14/2018,237
237,5/15/2018,238
238,5/16/2018,239
239,5/17/2018,240
240,5/18/2018,241
241,5/19/2018,242
242,5/20/2018,243
243,5/21/2018,244
244,5/22/2018,245
245,5/23/2018,246
246,5/24/2018,247
247,5/25/2018,248
248,5/26/2018,249
249,5/27/2018,250
250,5/28/2018,251
251,5/29/2018,252
252,5/30/2018,253
253,5/31/2018,254
254,6/1/2018,255
255,6/2/2018,256
256,6/3/2018,257
257,6/4/2018,258
258,6/5/2018,259
259,6/6/2018,260
260,6/7/2018,261
261,6/8/2018,262
262,6/9/2018,263
263,6/10/2018,264
264,6/12/2018,265
265,6/13/2018,266
266,6/14/2018,267
267,6/15/2018,268
268,6/16/2018,269
269,6/17/2018,270
270,6/18/2018,271
271,6/19/2018,272
272,6/20/2018,273
273,6/21/2018,274
274,6/22/2018,275
275,6/23/2018,276
276,6/24/2018,277
277,6/25/2018,278
278,6/26/2018,279
279,6/27/2018,280
280,6/28/2018,281
281,6/29/2018,282
282,6/30/2018,283
283,7/1/2018,284
284,7/2/2018,285
285,7/3/2018,286
286,7/4/2018,287
287,7/5/2018,288
288,7/6/2018,289
289,7/7/2018,290
290,7/8/2018,291
291,7/9/2018,292
292,7/10/2018,293
293,7/11/2018,294
294,7/12/2018,295
295,7/13/2018,296
296,7/14/2018,297
297,7/15/2018,298
298,7/16/2018,299
299,7/17/2018,300
300,7/18/2018,301
301,7/19/2018,302
302,7/20/2018,303
303,7/21/2018,304
304,7/22/2018,305
305,7/23/2018,306
306,7/24/2018,307
307,7/25/2018,308
308,7/26/2018,309
309,7/27/2018,310
310,7/28/2018,311
311,7/29/2018,312
312,7/30/2018,313
313,7/31/2018,314
314,8/1/2018,315
315,8/2/2018,316
316,8/3/2018,317
317,8/4/2018,318
318,8/5/2018,319
319,8/6/2018,320
320,8/7/2018,321
321,8/8/2018,322
322,8/9/2018,323
323,8/10/2018,324
324,8/11/2018,325
325,8/12/2018,326
326,8/13/2018,327
327,8/14/2018,328
328,8/15/2018,329
329,8/16/2018,330
330,8/17/2018,331
331,8/18/2018,332
332,8/19/2018,333
333,8/20/2018,334
334,8/21/2018,335
335,8/22/2018,336
336,8/23/2018,337
337,8/24/2018,338
338,8/25/2018,339
339,8/26/2018,340
340,8/27/2018,341
341,8/28/2018,342
342,8/29/2018,343
343,8/30/2018,344
344,8/31/2018,345
345,9/1/2018,346
346,9/2/2018,347
347,9/3/2018,348
348,9/4/2018,349
349,9/5/2018,350
350,9/6/2018,351
351,9/7/2018,352
352,9/8/2018,353
353,9/9/2018,354
354,9/10/2018,355
355,9/11/2018,356
356,9/12/2018,357
357,9/13/2018,358
358,9/14/2018,359
359,9/15/2018,360
360,9/16/2018,361
