,@ASSETID,@ASSETNAME,@LEASENAME,@STATUS,@ALARMCOLOR,@COLUMNCOUNT,@MODULENAME,@MODULEURL,@SAMPLETIME
0,10133,MP-002,BECKER RANCH 5E-403,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10133&amp;ANm=MP-002&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10133&amp;ANm=MP-002&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
1,2889,MP-024,4049 CARSON AVE.,Released,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2889&amp;ANm=MP-024&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2889&amp;ANm=MP-024&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
2,10142,MP-058,"GADDIS 36J-243, 36J-303, 36M-443",Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10142&amp;ANm=MP-058&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10142&amp;ANm=MP-058&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
3,3398,MP-1055,SPAUR 10L-201,ACTIVE,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=3398&amp;ANm=MP-1055&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=69|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=3398&amp;ANm=MP-1055&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=69,12/29/1899 06:00 PM
4,10164,MP-1075,GUTTERSON  33-34-43-44-6 &amp; 6D,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10164&amp;ANm=MP-1075&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10164&amp;ANm=MP-1075&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
5,2796,MP-108,4049 CARSON AVE.,Released,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2796&amp;ANm=MP-108&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=65|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2796&amp;ANm=MP-108&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=65,12/29/1899 06:00 PM
6,10172,MP-1090,"WILSON  13, 14, 23 &amp; 24 - 30",Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10172&amp;ANm=MP-1090&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=65|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10172&amp;ANm=MP-1090&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=65,12/29/1899 06:00 PM
7,3774,MP-1103,BECKER RANCH 5M-423,ACTIVE,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=3774&amp;ANm=MP-1103&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=3774&amp;ANm=MP-1103&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
8,10189,MP-112,SIMONSEN/SCHAEFER 7J-403,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10189&amp;ANm=MP-112&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10189&amp;ANm=MP-112&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
9,10204,MP-1143,DIANA 6Q-421,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10204&amp;ANm=MP-1143&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10204&amp;ANm=MP-1143&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
